cokelat	بُنِّيّ	bone	luunvalkoinen	καστανό	茶色	棕色	brąz	castanho	сме̏ђ	rjava	marrón	สีน้ำตาล
bir	بِيرَة	beer	olut	μπίρα	ビール	啤酒	piwo	cerveja	пи̑во	pivo	cerveza	เบียร์
Belanda	هُولَنْدَا	Netherlands	Alankomaat	Ολλανδία	オランダ	荷蘭	Niderlandy	Holanda	Ни̏зозе̄мска̄	Nizozémska	Países	เนเธอร์แลนด์
Belanda	None	Netherlands	hollantilainen	ολλανδικός	オランダ	荷蘭的	niderlandzki	holandês	nȉzozēmskī	None	holandés	None
Irlandia	أَيِرْلَنْدِيّ	Irish	iiri	ιρλανδικά	アイルランド語	愛爾蘭語	język	irlandês	и̑рскӣ	írščina	irlandés	ภาษาโปรตุเกส
igo	غُو	Irish	go-peli	γκο	囲碁	圍棋	tryktrak	gamão	го̑	None	parchís	หมากล้อม
Irlandia	إِيرْلَنْدِيّ	Irish	irlantilainen	None	アイルランドの	愛爾蘭的	irlandzki	irlandês	и̑рскӣ	írski	irlandés	ไอริช
kata	وَصْفِيّ	adjectival	adjektiivi-	επιθετικός	形容詞の	形容詞的	przymiotnikowy	adjectivo	при́дјевскӣ	pridevniški	adjetival	คุณศัพท์
tempik	كِس	cunt	vittu	μουνί	まんこ	屄	pizda	boceta	пичка	None	chocha	หี
bajingan	None	cunt	mulkku	μουνί	None	None	pizda	filho	пизда	None	puta	None
Moroko	الْعِرَاق	Iraq	Irak	Ιράκ	イラク	伊拉克	Meksyk	Iraque	Ирак	Irák	Marruecos	อิรัก
Kepulauan	جُزُر	Solomon	Salomonsaaret	Νήσοι	ソロモン諸島	所羅門群島	Wyspy	Ilhas	Соломонова	Salomonovi	Islas	หมู่เกาะโซโลมอน
Ceko	جُمْهُورِيَّة	Czech	Tšekin	Δημοκρατία	チェコ共和国	捷克共和國	Republika	República	Че̏шка̄	Čéška	Chequia	สาธารณรัฐเช็ก
kesepakatan	إِجْمَاع	consensus	yhteisymmärrys	ομοφωνία	総意	共識	None	consenso	консѐнзус	dogovor	None	None
Uni	الْإِمَارَات	United	Arabiemiirikunnat	Ηνωμένα	アラブ首長国連邦	阿拉伯聯合酋長國	Zjednoczone	Emiratos	Уједињени	Združeni	Siria	สหรัฐอาหรับเอมิเรตส์
doktrin	مَذْهَب	doctrine	opinkappale	δόγμα	ドクトリン	教條	doktryna	doutrina	доктри́на	doktrina	doctrina	ลัทธิ
doktrin	تَعْلِيم	doctrine	oppi	None	学説	學說	doktryna	doutrina	у̀че̄ње	učenje	doctrina	ลัทธิ
mamalia	ثَدْيِيّ	mammal	nisäkäs	θηλαστικό	None	哺乳類	ssak	mamífero	сисар	sesalec	None	สัตว์เลี้ยงลูกด้วยน้ำนม
jalur	سِكَّة	railway	rautatie	σιδηρόδρομος	鉄道	鐵路	kolej	ferrovia	жѐлезница	železniško	ferrocarril	การรถไฟ
rel	سِكَّة	railway	rata	σιδηρόδρομος	線路	鐵路	kolej	ferrovia	жѐлезница	None	vía	None
perdagangan	تِجَارَة	trade	kauppa	εμπόριο	商業	貿易	handel	comércio	трго̀вина	trgovina	comercio	พาณิชย์
menerima	قَبِلَ	accept	hyväksyä	δέχομαι	受理する	接受	przyjmować	aceitar	примати	sprejeti	aceptar	รับ
menyetujui	قَبِلَ	accept	hyväksyä	None	承諾する	贊同	zgadzać	aceitar	None	None	aceptar	ยอมรับ
kebijakan	سِيَاسَة	policy	käytäntö	πολιτική	施策	政策	polityka	política	полиса	politika	None	นโยบาย
pon	بَاوْنْد	pound	naula	λίβρα	ポンド	磅	funt	libra	фу̑нта	None	None	ปอนด์
si	الـ	the	se	ὁ	その	None	None	o	None	None	el	None
senjata	سِلَاح	weapon	ase	όπλο	None	武器	broń	arma	о̀рӯжје	orožje	None	อาวุธ
jamak	None	plural	monikollinen	πληθυντικός	複数	複數	mnogi	None	множински	None	None	พหูพจน์
bentuk	جَمْع	plural	monikko	πληθυντικός	複数形	複數	liczba	None	множина	None	None	พหูพจน์
kualitas	نَوْعِيَّة	quality	laatu	ποιότητα	質	質量	jakość	qualidade	квалите́та	kakóvost	calidad	คุณภาพ
berkualitas	None	quality	hyvälaatuinen	ποιοτικός	高級な	優質	None	de	ква̏лите̄тан	None	de	None
Yunani	الْيُونَان	Greece	Kreikka	Ελλάδα	ギリシャ	希臘	Grecja	Grécia	Гр̏чка̄	Gŕčija	Grecia	กรีซ
hari	يَوْم	day	päivä	ημέρα	一日	天	dzień	dia	дан	dán	día	วัน
hari	يَوْم	day	päivä	ημέρα	日	天	dzień	dia	дан	dán	día	วัน
hari	None	day	vuorokausi	ημέρα	None	None	dzień	dia	дан	dán	día	วัน
hari	يَوْم	day	päivä	ημέρα	昼間	一天	dzień	dia	дан	dán	jornada	วัน
hari	يَوْم	day	päivä	ημέρα	昼	白天	dzień	dia	обданица	dán	día	กลางวัน
februari	فِبْرَايِر	February	helmikuu	Φεβρουάριος	如月	二月	luty	fevereiro	фебруар	fébruar	febrero	กุมภาพันธ์
bahasa	لُغَة	language	kieli	γλώσσα	言語	語言	język	idioma	јѐзик	jêzik	lengua	ภาษา
musik	مُوسِيقَى	music	musiikki	μουσική	音楽	音樂	muzyka	música	му̀зика	glasba	None	ดนตรี
partitur	None	music	nuotit	παρτιτούρα	楽譜	樂譜	None	partitura	None	None	música	None
ilmu	اِقْتِصَاد	economics	taloustiede	οικονομικά	経済学	經濟學	ekonomika	economia	еконо̀мија	ekonomija	economía	เศรษฐศาสตร์
jam	سَاعَة	clock	kello	ρολόι	時計	鐘	zegar	relógio	ча̀со̄внӣк	ura	reloj	นาฬิกา
karena	لِأَنَّ	because	koska	διότι	なぜなら	因為	bo	porque	је̏р	ker	ya	เพราะ
enam	سِتَّة	six	kuusi	έξι	六つ	六	sześć	seis	ше̑ст	šést	nueve	หก
ibu	إِبْهَام	six	kuutonen	έξι	親指	六	szóstka	seis	палац	palec	pulgar	นิ้วโป้ง
musim	شِتَاء	winter	talvi	χειμώνας	冬	冬天	zima	inverno	зи́ма	None	invierno	ฤดูหนาว
Filipina	الْفِلِبِّين	Philippines	Filippiinit	Φιλιππίνες	比律賓	菲律賓	Filipiny	Filipinas	Филипи́ни	None	None	ฟิลิปปินส์
investasi	اِسْتِثْمَار	investment	sijoitus	επένδυση	None	投資	inwestycja	investimento	инвести́ција	vlaganje	inversión	การลงทุน
ambil	شَارَكَ	take	osallistua	μοιράζομαι	参加する	參加	brać	participar	у̀чествовати	udeleževati	terciar	เข้าร่วม
kentut	حَبَقَ	fart	pieraista	κλάνω	おならをする	放屁	pierdzieć	peidar	пр̀дети	prdeti	peer	ตด
kentut	حَبْقَة	fart	pieru	πορδή	おなら	屁	pierdnięcie	peido	None	None	pedo	ตด
adverbia	ظَرْف	adverb	adverbi	επίρρημα	None	副詞	przysłówek	advérbio	при́лог	prislov	adverbio	กริยาวิเศษณ์
inflasi	تَضَخُّم	inflation	inflaatio	πληθωρισμός	インフレ	通貨膨脹	inflacja	inflação	инфла́ција	inflacija	inflación	เงินเฟ้อ
pengembangan	None	inflation	laajentuminen	φούσκωμα	膨張	None	None	inflamento	None	None	inflado	None
akomodasi	إِقَامَة	accommodation	majoitus	κατάλυμα	宿泊	住處	zakwaterowanie	alojamento	смјештај	nastanitev	alojamiento	ที่พัก
akomodasi	None	accommodation	soveltuminen	None	設備	適應	przystosowanie	acomodamento	None	None	None	None
tiga	ثَلَاثَة	three	kolme	τρία	三つ	三	trzy	três	три̑	tríje	tres	สาม
kemarau	خَرِيف	autumn	syksy	φθινόπωρο	秋	秋天	jesień	outono	је̏се̄н	jesén	otoño	ใบไม้ร่วง
Swedia	السُّوَيْد	Sweden	Ruotsi	Σουηδία	スウェーデン	瑞典	Szwecja	Suécia	Шве̏дска̄	Švédska	Suecia	สวีเดน
miliar	مِلْيَار	billion	miljardi	δισεκατομμύριο	None	十億	miliard	mil	милијарда	None	millardo	พันล้าน
saham	سَهْم	stock	osakepääoma	μετοχή	株	股票	None	ação	None	delnica	acción	None
setali	None	quarter	neljännesdollari	None	None	None	ćwierćdolarówka	moeda	None	None	cora	เหรียญสลึง
perempat	رُبُع	quarter	neljännes	τέταρτο	四分の一	四分之一	ćwierć	quarto	четврт	četrt	cuarto	เสี้ยว
kuartal	أُثْلُوث	quarter	neljännesvuosi	τριμηνία	四半期	季度	kwartał	trimestre	None	None	None	ไตรมาส
Selandia	نِيُوزِيلَانْدَا	New	Uusi-Seelanti	Νέα	ニュージーランド	新西蘭	Nowa	Nova	Но̏вӣ	Nôva	Nueva	นิวซีแลนด์
coklat	أَسْمَر	brown	ruskea	καστανός	茶色い	褐色	brązowy	castanho	смеђ	rjav	marrón	น้ำตาล
ramal	تَنَبَّأَ	forecast	ennustaa	προβλέπω	予想する	預測	przepowiadać	prever	None	napovedati	predecir	พยากรณ์
prakiraan	تَوَقُّع	forecast	ennuste	πρόβλεψη	予想	預報	prognoza	previsão	прогно́за	napoved	pronóstico	การพยากรณ์
Kamboja	مَالَيْزِيَا	Malaysia	Malesia	Μαλαισία	マレーシア	馬來西亞	Malezja	Malásia	Ма̀ле̄зија	Malézija	Malasia	มาเลเซีย
kata	حَرْف	conjunction	konjunktio	σύνδεσμος	接続詞	連接詞	spójnik	conjunção	везник	None	conjunción	สันธาน
konjungsi	None	conjunction	konjunktio	σύνοδος	合	會合	koniunkcja	conjunção	None	None	conjunción	None
konjungsi	None	conjunction	None	σύζευξη	連接	None	koniunkcja	conjunção	None	None	None	None
asam	حَامِض	acid	hapan	οξύς	すっぱい	酸	kwaśny	ácido	кисео	kisel	agrio	กรด
asam	None	acid	hapan	όξινος	酸性	None	kwaśny	ácido	kisèlīnskī	None	None	None
bintang	نَجْم	star	tähti	αστέρι	恒星	星	gwiazda	estrela	зве́зда	zvezda	estrella	ดาว
bintang	نَجْم	star	tähti	None	None	恆星	gwiazda	estrela	None	None	estrella	ดาวฤกษ์
bintang	نَجْمَة	star	tähti	αστέρας	大物	明星	gwiazda	estrela	зве́зда	zvezda	estrella	ดารา
pagi	صَبَاح	morning	aamu	πρωί	午前	早晨	rano	manhã	јутро	None	mañana	เช้า
pagi	صَبَاح	morning	aamu	πρωί	朝	上午	ranek	manhã	преподне	None	mañana	ตอนเช้า
Polandia	بُولَنْدَا	Poland	Puola	Πολωνία	ポーランド	波蘭	Polska	Polónia	Пољска	Póljska	Polonia	โปแลนด์
Finlandia	فِنْلَنْدَا	Finland	Suomi	Φινλανδία	フィンランド	芬蘭	None	Finlândia	Фи̑нска̄	Fínska	None	ฟินแลนด์
rahasia	سِرّ	secret	salaisuus	μυστικό	None	秘密	sekret	segredo	та̑јна	skrivnost	secreto	ความลับ
rahasia	سِرِّيّ	secret	salainen	μυστικός	密か	秘密的	sekretny	secreto	та̑јнӣ	skriven	None	ลับ
gaji	أَجْر	wage	palkka	μισθός	給料	工資	pensja	salário	плата	plača	salario	ค่าจ้าง
Belanda	هُولَنْدِيّ	Dutch	hollantilainen	ολλανδικός	オランダの	荷蘭的	niderlandzki	holandês	хо̀ландскӣ	nizozẹ̑mski	neerlandés	เนเธอร์แลนด์
bahasa	هُولَنْدِيَّة	Dutch	hollanti	ολλανδικά	オランダ語	荷蘭語	(język)	holandês	холандски	nizozémščina	neerlandés	ภาษาดัตช์
neraka	جَهَنَّم	hell	helvetti	Κόλαση	魔界	地獄	piekło	inferno	пакао	pekel	infierno	นรก
neraka	جَحِيم	hell	helvetti	κόλαση	地獄	None	piekło	inferno	пакао	None	infierno	None
bintang	كَوْكَب	planet	planeetta	πλανήτης	惑星	行星	planeta	None	плане́та	None	None	ดาวนพเคราะห์
pajak	ضَرِيبَة	tax	vero	φόρος	税金	稅	podatek	imposto	по̀рез	davek	impuesto	ภาษี
pemerintah	حُكُومَة	government	hallitus	κυβέρνηση	None	政府	rząd	governo	вла́да	vlada	gobierno	รัฐบาล
rumput	حَشِيش	grass	heinä	χορτάρι	雑草	草	trawa	grama	тра́ва	trava	pasto	หญ้า
burung	زُب	dick	kyrpä	ψωλή	ちんこ	雞巴	chuj	caralho	курац	kurec	bicho	ควย
bangsat	None	dick	kusipää	γαμημένος	None	傻屌	dupek	cuzão	зајебант	None	pendejo	None
reserse	جَاسُوس	dick	etsivä	λαγωνικό	None	None	None	detetive	detektiv	None	sabueso	None
Amerika	الْوِلَايَات	United	Amerikan	Ηνωμένες	アメリカ合衆国	美利堅合眾國	Stany	Estados	Сјѐдӣњене̄	Združene	Estados	สหรัฐอเมริกา
perang	حَرْب	war	sota	πόλεμος	戦争	戰爭	wojna	guerra	ра̏т	vojna	None	สงคราม
bakarat	بْرِيدْج	war	kina	σκατά	ダウト	橋牌	wojna	guerra	бриџ	None	desconfío	บริดจ์
juga	أَيْضًا	also	myös	επίσης	も	也	też	também	такође	túdi	también	ด้วย
kirim	أَرْسَلَ	send	lähettää	στέλνω	送る	送	wysyłać	enviar	послати	None	remitir	ส่ง
tambah	جَمَعَ	add	laskea	αθροίζω	足す	加	dodać	somar	са̀брати	None	sumar	บวก
tambah	اِضَافَ	add	lisätä	προσθέτω	追加する	加	dodawać	adicionar	None	None	añadir	เพิ่ม
beol	خَرِئَ	crap	paskantaa	χέζω	大便をする	拉屎	srać	cagar	срати	None	None	None
kedua	ثَانٍ	second	toinen	δεύτερος	二番目	第二	drugi	segundo	други	drúgi	None	ที่สอง
kedua	None	second	toinen	δεύτερος	二番目	None	drugi	segundo	None	None	None	ที่สอง
detik	ثَانِيَة	second	sekunti	δευτερόλεπτο	None	秒鐘	sekunda	segundo	секу̀нда	None	None	วินาที
bangsa	بَلَد	country	maa	χώρα	国	國家	kraj	país	зѐмља	dežela	None	ประเทศ
negara	بَلَد	country	maa	χώρα	国	國家	kraj	país	зѐмља	država	None	ประเทศ
desa	رِيفِيّ	country	maalainen	αγροτικός	田舎	鄉下的	wiejski	rural	None	podeželski	de	ทางชนบท
Mesir	مِصْر	Egypt	Egypti	Αίγυπτος	エジプト	埃及	Egipt	Egipto	Ѐгипат	Egípt	None	อียิปต์
kurma	تَمْرَة	date	taateli	χουρμάς	デーツ	椰枣	daktyl	tâmara	ху́рма	datelj	dátil	อินทผลัม
tanggal	تَارِيخ	date	päiväys	ημερομηνία	日付	日期	data	None	на́дневак	datum	fecha	วันที่
tanggal	تَارِيخ	date	päivämäärä	ημερομηνία	日付	日期	data	None	да́тум	datum	fecha	วันที่
kencan	مُوَاعَدَة	date	tapaaminen	συνάντηση	デート	約會	randka	encontro	са̀станак	sréčanje	cita	นัด
bulat	مُسْتَدِير	global	pallomainen	None	丸い	None	kulisty	globular	None	okrogel	None	None
memperbesar	زَاد	increase	kasvattaa	αυξάνω	増やす	增加	powiększać	aumentar	повећавати	povečati	subir	None
kucing	قِطّ	cat	kissa	γάτα	None	貓	kot	gato	мачка	maček	None	แมว
kucing	None	cat	kissaeläin	αιλουροειδές	None	貓	kot	felino	мачка	None	None	แมว
muntah	تَقَيَّأَ	cat	yrjötä	None	None	呕吐	wymiotować	vomitar	rigati	bruhanje	vómito	None
buku	كِتَاب	book	kirja	βιβλίο	本	書	książka	livro	књи̏га	knjíga	libro	หนังสือ
pesan	حَجَزَ	book	varata	κρατώ	予約する	預訂	rezerwować	reservar	predbilježiti	None	None	None
warna	لَوْن	color	väri	χρώμα	色彩	色	kolor	cor	бо̀ја	barva	None	สี
