Sense	Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
type of word	أشباه النظائر ضَمِير ضَمَائِرُ	false friend pronoun	petollinen ystävä väärä ystävä sekaannussana asemo pronomini	ψευδόφιλος αντωνυμία	teman palsu pronomina	偽りの友	偽友 伪友 假友 假等義 假等义 假朋友 同形异义词 代詞 代词 代名詞 代名词	n o u n	fałszywy przyjaciel zaimek	falso amigo heterossemântico pronome	заменица zamenica	lažni prijatelj zaímek	pronombre	สรรพนาม	None	noun
science of the meaning of words	عِلْم اَلْمَعَانِي	semantics	semantiikka merkitysoppi	None	semantik	意味論	語義學 语义学	n o u n	semantyka	semântica	сема̀нтика semàntika	pomenoslovje	semántica	None	None	noun
twelfth month of the Gregorian calendar	دِيسِمْبِر دِيسَمْبِر كَانُون الْأَوَّل	December	joulukuu	Δεκέμβριος Δεκέμβρης	Desember	師走	十二月	n a m e	grudzień	dezembro	дѐце̄мбар про̀синац dècēmbar pròsinac	decêmber	diciembre	ธันวาคม	None	name
the language of Poland	بُولَنْدِيَّة	Polish	puola puolan kieli	πολωνικά πολωνέζικα	bahasa Polandia	ポーランド語	波蘭語 波兰语	n o u n	język polski polszczyzna	polonês polaco	по̏љскӣ pȍljskī	póljščina	None	ภาษาโปแลนด์	None	noun
bone	لَوْح اَلْكَتِف عَظْم كَتِفِيّ لوح	osteo- shoulder blade	lapaluu	ωμοπλάτη	tulang belikat	肩甲骨	肩胛骨	n o u n	łopatka	omoplata espádua escápula	ло̀патица lòpatica	lopatica	omóplato	กระดูกสะบัก	None	noun
fourth month of the Gregorian calendar	أَبْرِيل نِيسَان	April	huhtikuu	Απρίλιος	april	卯月	四月	n a m e	kwiecień	abril	април travanj	apríl	None	เมษายน	None	name
act of growing	None	growth	kasvu	None	pertumbuhan	None	None	n o u n	rośnięcie wzrastanie	crescimento	None	rast	crecimiento	None	None	noun
tenth month of the Gregorian calendar	أَكْتُوبَر تِشْرِين الْأَوَّل	October	lokakuu	Οκτώβριος Οκτώβρης	oktober	神無月	十月	n a m e	październik	outubro	октобар oktobar listopad	október	octubre	ตุลาคม	None	name
musical instrument	سِيلُوفُون	woodwind cowbell xylophone	puupuhallin lehmänkello ksylofoni	ξύλινα πνευστά ξυλόφωνο	xilofon	カウベル シロフォン	木管樂器 木管乐器 牛鈴 牛铃 木琴	n o u n	krowi dzwonek ksylofon	madeira caneca xilofone	ksilofon	kravji zvonec	cencerro xilófono marimba	ระนาด	None	noun
one who is hired to perform regular household or other duties, and receives compensation	خَادِم خَادِمَة خَدَم خدام خدامة	servant	palvelija	υπηρέτης	pembantu	使用人 召使い	僕人 仆人 傭人 佣人 奴僕 奴仆 奴役	n o u n	służący służąca sługa	empregado criado serviçal	слу́га слу̀жа̄вка слу̏шкиња slúga slùžāvka slȕškinja	služabnik služabnica sluga služkinja	sirviente mozo doméstico empleado	ข้า	None	noun
one who serves another, providing help in some manner	None	servant	palvelija	υπηρέτης	pelayan	None	None	n o u n	None	servente	None	None	servidor	None	None	noun
belly	بَطْن جَوْف بطن مَعِدَة مِعْدَة كرشة	abdomen stomach	vatsa maha	στομάχι κοιλιά	perut	お腹	腹部 腹 肚子	n o u n	brzuch	abdómen abdômen	тр̀бух tr̀buh	trebuh	vientre	ท้อง	None	noun
device for performing arithmetical calculations	مِعَد مِعْدَاد	abacus	helmitaulu abakus laskulauta laskutaulu	άβακας	dekak-dekak sempoa	None	算盤 算盘	n o u n	liczydło abak	ábaco	рачунаљка računaljka	računalo	None	ลูกคิด	None	noun
belief in the existence of multiple gods	شِرْك تَعَدُّد الْآلِهَة	polytheism	monijumalisuus polyteismi	πολυθεϊσμός	politeisme	None	多神教	n o u n	politeizm wielobóstwo	politeísmo	политеизам многобоштво politeizam mnogoboštvo	politeizem	None	พหุเทวนิยม	None	noun
strange	None	odd	outo kummallinen omituinen	αλλόκοτος παράξενος	ganjil	変な 奇異な 奇妙な 風変わりな	奇怪	a d j	dziwny	estranho raro	None	čuden	extraño	None	None	adj
indivisible by two	None	odd	pariton	περιττός μονός	gasal ganjil	奇の 奇数の 半	奇	a d j	nieparzysty	ímpar	непаран neparan	lih	impar	None	None	adj
to jump	وَثَبَ	leap vault	loikata hypätä ponnahtaa	πάλλομαι αναπηδώ ξεπετάγομαι πετάγομαι	lompat loncat melompat meloncat	飛躍する 跳躍する	跳躍 跳跃 飛躍 飞跃	v e r b	skakać skoczyć przeskakiwać przeskoczyć	saltar	None	None	None	เผ่น	None	verb
the act of leaping	None	leap	hyppy loikka	άλμα	lompatan	跳躍	None	n o u n	skok sus	salto	None	None	None	None	None	noun
one who, or that which, absorbs	None	absorber	None	None	penyerap	None	None	n o u n	absorbent pochłaniacz	absorvedor	None	None	None	None	None	noun
study of computers and their architecture	عِلْم الْحَاسُوب	computer science	tietojenkäsittelytiede	πληροφορική	ilmu komputer	情報科学 コンピュータサイエンス 計算機科学	電腦科學 电脑科学 計算機科學 计算机科学	n o u n	informatyka	ciência da computação ciências da computação informática	računarstvo računarska znanost informatika	None	computación ciencia de la computación ciencias computacionales	วิทยาการคอมพิวเตอร์	None	noun
(grammar) a word that indicates an action, event, or a state	فِعْل فعل	verb	verbi teonsana	ρήμα	kata kerja verba	None	動詞 动词	n o u n	czasownik	verbo	глагол glagol	None	None	คำกริยา กริยา	None	noun
period into which a year is divided	شَهْر شهر	month	kuukausi kuu	μήνας	bulan	月間	月 月份	n o u n	miesiąc	mês	ме̏се̄ц мје̏се̄ц mȅsēc mjȅsēc	mésec	mes	เดือน	None	noun
smallest linguistic unit	مُورْفِيم مَقْطَع صَرْفِيّ	morpheme	morfeemi	μόρφημα	morfem	形態素	詞素 词素 語素 语素	n o u n	None	morfema	морфе́ма мо̀рфе̄м morféma mòrfēm	None	None	หน่วยคำ	None	noun
belief in one God	تَوْحِيد	monotheism	monoteismi	μονοθεϊσμός	monoteisme	None	一神教 一神論 一神论	n o u n	monoteizm jedynobóstwo	monoteísmo	монотеѝзам једно̀боштво monoteìzam jednòboštvo	monoteizem	None	เอกเทวนิยม	None	noun
first month of the Gregorian calendar	يَنَايِر كَانُون اَلثَّانِي يناير	January	tammikuu	Ιανουάριος	Januari	睦月	一月 元月	n a m e	styczeń	janeiro	јануар сечањ сијечањ januar sečanj siječanj	jánuar	enero	มกราคม	None	name
notion in mathematics	تَشَاكُل	metric continuity homomorphism osculating circle homomorphically	metriikka jatkuvuus homomorfismi	ομομορφισμός	kontinuitas	計量 メトリック	度量	a d v	metryka ciągłość homomorfizm	métrica continuidade homomorfismo	homomorfizam	homomorfizem	continuidad	None	None	adv
National Aeronautics and Space Administration	نَاسَا	NASA National Aeronautics and Space Administration	None	None	Badan Penerbangan dan Antariksa	米航空宇宙局 アメリカ航空宇宙局	國家航空航天局 国家航空航天局 國家航空暨太空總署 国家航空暨太空总署	n a m e	None	None	None	None	None	None	None	name
law: a release of (a prisoner)	None	parole	ehdonalainen	None	pelepasan bersyarat	仮釈放	假釋 假释	n o u n	None	condicional liberdade condicional	None	None	libertad condicional	None	None	noun
(slang) glans penis	None	dickhead	None	πουτσοκέφαλος	palkon pukon	None	龜頭 龟头	n o u n	None	cabeça	None	None	capullo	หัวควย	None	noun
(slang) stupid person	None	dickhead	molopää munapää	βλάκας ηλίθια ηλίθιος	goblok brengsek keparat palkon	糞垂れ	傻屄	n o u n	chujogłowy chujoza	cabeça de pila retardado bobão cuzão otário	None	None	cabeza de pene capullo gilipollas	None	None	noun
any bird of the genus Corvus	غُرَاب زَاغ	crow	varis varislintu	κουρούνα	burung gagak gagak	烏 慈鳥	烏鴉 乌鸦	n o u n	wrona gawron kruk kawka f depending on species.	gralha-preta corvo	вра̏на vrȁna	vrána	corneja cuervo	กา	None	noun
cry of the rooster	None	crow cock-a-doodle-doo	kieunta kiekuminen kukkokiekuu	λάλημα κουκουρίκου κικιρίκου	kukuruyuk	コケコッコー こけこっこー こけこっこう	咕咕咕 喔喔喔	i n t j	pianie kukuryku	canto cocorocó cocoricó	крик krik кукурику kukuriku	kikirikȋ	cacareo quiquiriquí	เอ้กอีเอ้กเอ้ก	None	intj
Internet search performed on the Google search engine	None	google	googlaus	γκουγκλιά	googling	None	None	n o u n	guglanie guglowanie googlanie googlowanie wyguglowanie wyguglanie	pesquisa googlada	None	None	googleada	None	None	noun
before Christ	ق. م. قَبْلَ الْمِيلَاد	BC	eKr. (ennen Kristusta / ennen Kristuksen syntymää)	π.Χ.	SM (Sebelum Masehi)	None	公元前 主前 紀元前 纪元前	a d v	przed Chr. (przed Chrystusem) [obsolete] p.n.Chr. (przed narodzeniem Chrystusa)	a.C. A.C.	None	None	a. de J.C. (antes de Jesucristo)	None	None	adv
astronomical event	احتجاب	occultation	okkultaatio tähdenpeitto	επιπρόσθηση	okultasi	掩蔽	掩星	n o u n	okultacja	ocultação	okultacija	None	ocultación	None	None	noun
word with same meaning as another	مُرَادِف	synonym	synonyymi	συνώνυμο	sinonim	同義語 類義語	同義詞 同义词 代名詞 代名词 近義詞 近义词	n o u n	synonim bliskoznacznik	sinónimo sinônimo	истозначница сино̀нӣм istòznačnica sinònīm	sopomenka	None	ไวพจน์ คำพ้องความ	None	noun
skillful	قَادِر قَدِير بَارِع مَاهِر شاطر	able deft cunning crafty clever	taitava pystyvä hyvä näppärä ovela kyvykäs osaava kykenevä nokkela	ικανός	sanggup	有能 腕利き 狡猾な 巧妙な	能幹 能干 得力 巧妙	a d j	umiejętny zręczny zdolny wprawny	capaz habilidoso astuto esperto	sposoban способан vješt вјешт kadar spretan	None	diestro hábil ingenioso mañoso habiloso listo talentoso	None	None	adj
legally qualified	None	able	pätevä	αρτιμελής έχων σώας τας φρένας	boleh	有資格の	有資格 有资格	a d j	None	competente	None	None	None	None	None	adj
thousand-year period	أَلْفِيَّة	millennium	vuosituhat	χιλιετία	milenium alaf	千年間 千年期 千年紀	千年	n o u n	tysiąclecie	milénio milênio	тисућлеће tisućleće	tisočletje	milenio	สหัสวรรษ	None	noun
unit of time	دَقِيقَة دِقيقة دَقِيقة دقيقة	minute	minuutti	λεπτό	menit minit minuta	None	分鐘 分钟 分	n o u n	None	minuto	мину́та мѝнӯт minúta mìnūt	None	None	นาที	None	noun
unit of angular measure	None	minute second	minuutti kaariminuutti kulmasekunti sekunti	λεπτό δευτερόλεπτο	detik	秒	None	n o u n	minuta sekunda	minuto segundo	None	None	None	ลิปดา พิลิปดา	None	noun
without	بِغَيْرِ بِدُونِ	absent free	ilman vailla -ton ilman (jotakin) -vapaa	None	bebas tanpa	None	None	a d j	bez wolny	na ausência de semideus	bez- bes-	None	None	None	None	adj
statement of the meaning of a word or word group or a sign or symbol	تَعْرِيف	definition	määritelmä	ορισμός	definisi	語義	定義 定义 釋義 释义	n o u n	definicja	definição	дефини́ција definícija	definicija	definición	การกำหนด	None	noun
period of ten years	عَقْد	decade	vuosikymmen	δεκαετία	dasawarsa dekade	None	十年	n o u n	dziesięciolecie dekada	década decênio	десетлеће дeценија desetleće decenija	desetletje	decenio	ทศวรรษ	None	noun
Used to form nouns from adjectives.	None	-ity	-uus -iteetti	-ότητα	-itas	None	性	s u f f i x	-ość	-idade -dade	None	-nost	-idad -edad -dad	None	None	suffix
publication that explains the meanings of an ordered list of words	قَامُوس مُعْجَم	dictionary	sanakirja	λεξικό	kamus bausastra logat	辞書 字書 字引	字典 詞典 词典 辭典 辞典 辭林 辞林	n o u n	słownik leksykon dykcjonarz mównik wokabularz	dicionário	ре̑чнӣк рје̑чнӣк сло̑внӣк rȇčnīk rjȇčnīk slȏvnīk	slovar	diccionario	พจนานุกรม	None	noun
type of pastry	فَطِيرَة	pie kolach	piirakka piiras torttu	πίτα	kue pai	パイ	餡餅 馅饼 排 派	n o u n	ciasto placek	tarte	пита pita	None	pastel pay tarta	พาย	None	noun
unit of currency	جُنَيْه لِيرَة f or لَيْرَة جنية دِرْهَم بَات كْيَات	pie pound markka guilder dirham forint baht kyat qapik	punta guldeni dirhami forintti	λίρα φιορίνι μπατ	paun	ポンド マルッカ ギルダー ディルハム バーツ チャット	鎊 镑 馬克 马克 迪拉姆 福林 泰銖 泰铢 緬元 缅元	n o u n	funt marka gulden bat kiat	libra libra esterlina florim dirrã quiate	фу̑нта fȗnta фори́нта фо̀рӣнт forínta fòrīnt кјат kjat	None	florín dírham florín húngaro forinto	ปอนด์ บาท ฿ จ๊าด	None	noun
person, etc. from outside	غَرِيب غَرِيبَة	alien	muukalainen	ξένος	orang asing	余所者	異客 异客 陌生人	n o u n	obcy	estranho	изванзема́љац свеми́рац izvanzemáljac svemírac	None	desconocido desconocida advena	None	None	noun
