Indonesian	Arabic	Croatian	Thai	Slovene	Finnish	Portuguese	Japanese	Polish	Greek 	Chinese 	English 	Spanish 
keturunanmu	نسلكم	potomstvu	None	rodove	sukupolveen	descendência	None	nasienie	σπερματος	後裔	your seed	vuestros descendientes
bagi keturunan	اجيالكم	None	None	None	None	None	None	None	None	None	None	None
Kujawab	اجيبه	None	None	None	None	None	None	None	Κυριος θελω	None	answer him by	None
upahan	كاجير	najamnika	None	najemnik	None	jornaleiro	None	najemnik	μισθωτου	雇工	hireling	jornalero
mencintai	يحب	ljubiš	None	ljubiš	rakastavat	amar	None	miłuje	αγαπωσι	喜愛	loved	aman
jatuh cinta kepada	احب	None	None	None	rakasti	None	None	None	None	None	None	None
kucintai	احببت	ljubim	None	ljubim	rakastan	amo	None	None	None	None	Therefore I love	amo tu
kalian mengasihi	احببتم	None	None	None	None	None	None	miłujecie	None	None	None	None
Bapa mengasihi Aku	احببتني	None	None	None	None	None	None	None	None	None	None	None
mencintai Tuhan	احبك	None	None	ljubim	None	None	None	None	αγαπω	愛你	None	amo
mengasihi mereka	احبهم	None	None	None	None	None	None	None	None	None	None	None
kasihilah	احبوا	None	None	ljubite	rakastakaa	Amai	None	None	None	None	love your	amad
lebih suka	احبوا	None	None	rajši	mieluummin	None	None	None	None	寧	None	None
Awas	احترز	Pazi	None	Varuj	Varo	None	None	None	Προσεχε	小心	None	None
penghinaan	العار	čujder	None	sramoto	herjaavaa tuomiota	None	None	pohaóbienie	λογους του	凌辱	the reproach	oprobio
mudah diampuni	احتمالا	None	None	None	None	rigor	None	None	None	None	None	None
berlindung	احتمي	utočište	วางใจ	pribežališče	turvaavat	refugiam	None	None	ηλπισα	投 靠	trust	se refugian
keperluan	احتياج	None	None	vse dni njegovega	None	None	None	None	None	None	needful	uso
seorang pun	احد	nitko	None	None	kukaan	ninguém	None	None	ουδεις	None	none	nadie
siapa pun	لاحد	nikoga	None	nikomur	kenenkään	None	None	nikogo	ουδενα	訴人	None	nadie
sepatu	احذية	obuće	None	obuvala	kenkiä	alparcas	None	butów	υποδηματα	帶鞋	shoes	sandalias
kandungku	احشائي	None	None	None	None	None	None	None	None	None	None	None
hatiku	قلبي	srce	None	srce	sydämeni	meu coração	None	serce	καρδια	None	my heart	mi corazón
Ahasyweros	احشويروش	Ahasvera	None	Ahasveru	Ahasveros	Assuero	None	Aswerusa	Ασσουηρου	亞哈隨魯王	Ahasuerus	Asuero
Wasti	وشتي	Vašti	None	Ahasvera	Ahasveroksen	Vasti	None	Wasty	Αστιν	實提	Vashti	Vasti
Persia	فارس	perzijskoga	None	Peržanov	persialaisten	persas	None	Persów	της Περσιας	波斯人	of Persia	provincias del rey Asuero
Jagalah	احفظ	čuvaj	None	Ohrani	varjele	Guarda	None	strzeż	φυλαττε	謹慎	keep my soul	Guarda
jagalah	احيني	pazi	ทรง สงวน	Pazite	None	None	None	strzeżcie	προσεχετε	None	take diligent	None
Kuhukum	واعاقبه	kaznom	ลงโทษ	kaznoval	rankaisen	None	None	nawiedzający	τιμωρησει	None	None	contra tal
membuka	يفتح	otvoriti	None	odvezati	avata	abrir	None	otworzyła	ηνοιξε	開	opened	abrió
mimpi	حلمه	snu	None	spanje	unta	sonhos	None	wykład	ονειρον	夢中	the dream	sueños
Berjanjilah	احلفكن	Zaklinjem	None	Rotim	vannotan	None	None	Poprzysięgam	ορκιζω	叫 醒 云 云	charge you	Juradme
manis	حلوة	slatko	None	sladkost	suussani makea	suaves	None	słodki	γλυκυτης	None	sweeter	halaga
bersyukur	احمدك	Neka hvale	โมทนา	slavili	kiitän	louvaremos	None	None	υμνει αυτον	稱 讚	thanks	he de alabar
kuagungkan	احمدك	slavim	None	None	kunnioitan	None	None	None	υμνει	要 尊崇	and I will exalt	None
Bersyukurlah	احمدوا	Aleluja	จง โมทนา	Hvalite	Kiittäkää	Louvai	None	None	Δοξολογειτε	們要 稱謝	give thanks	Alabad
merah	محمرة	predivo	แดง	karmezina	punasinisistä	vermelhos	None	None	κοκκινου	紅	scarlet	rojo
angkat	واحمل	uzmi	None	vzemi	None	toma o teu	None	weźmij	επαρε τον	拿 你	take up	toma
Sunem	شونم	None	None	Sunamljanka	Suunemiin	Suném	None	Sunamitkę	Σουνημ	念 的	Shunammite	Sunem
orang hidup	الاحياء	živih	None	živih	None	None	None	None	ζωντων	None	None	None
saudara	الاخ	braće	None	brati	veljiä	irmã	None	braci	αδελφους	弟兄	brothers	hermanos
Ahab	لاخآب	izraelski	None	Izraelov	Israelin kuningas	o rei de Israel	None	Achabowi	του Αχααβ	以 色 列 王	the king of Israel	rey de Israel
bersaudara	اخوة	braće	None	bratov	veljestä	None	None	braci	None	是 弟兄	the brother of James	None
Akhaya	اخائية	Ahaji	อา คา ยา	Ahajo	Akaiassa	Acaia	None	Achai	Αχαιας	亞該亞	of Achaia	en Acaya
khawatir	تهتمون	zabrinuti	กระวนกระวาย	skrbi	pelkään	ansiosos	None	troszczcie się	μεριμνησητε	None	thought	temo
takut	خوف	strah	None	strahu	pelkää	temor	None	bojaźni	φοβου	害怕	feared	temáis
saudaramu	اخيك	sestra	None	tvoj brat	veljiesi	de teu pai	None	bratu twemu	αδελφου σου	None	your brother	tu hermano
adikmu yang	اخاكم	None	None	None	None	None	None	None	None	None	None	None
adik	اخو	sestru	None	brata	veljen	irmão	None	brat	αδελφος	兄弟	the sister	vuestro hermano
saudaranya	اخيه	brata	None	brate	veljeänsä	sua irmã	None	brat	αδελφους	弟 兄	his brother	su hermano
adiknya	اخيه	svoga brata	None	sestro	veljensä	sua irmã	None	Siostra	νεωτεραν	妹 子	younger	su hermano
Sejarah	اخبار	Ljetopisa	พงศาวดาร	letopisov	None	crônicas	None	None	χρονικων	記上	the chronicles of	las crónicas de los
sejarah	اخبار الايام	None	พงศาวดาร	letopisov	None	das crônicas	None	None	χρονικων	None	the chronicles	las crónicas
Riwayat	اخبار	povijesti	None	zgodovini	None	None	None	None	None	None	the acts	None
kuberitahukan	اخبرك	None	None	None	ilmoitan	None	None	None	σοι απαγγειλει	None	None	None
Ceritakanlah	اخبروا	None	None	Pripovedujte	None	None	None	None	None	None	Declare his	None
Beritahukanlah	اخبروا	None	None	None	None	None	None	None	None	None	None	None
saudara perempuan	واختي	sestre	None	sestra	None	None	None	siostra	None	妹	None	None
memilih	واختار	izabrao	None	odločil	valitsivat	escolheu	None	obrał	None	揀選	chosen	escogió
dipilih	يختره	odabrao	None	izvolil	valitsee	ungido do	None	wybranej	κεχρισμενος	揀選	shall choose	ungido
bersembunyi	مختبئا	zasjedu	None	prebivališče	piiloutunut	emboscada	None	pokryli	κρυψης	掩	hide	escondido
mereka bersembunyi	اختبأوا	None	None	None	None	None	None	None	None	None	None	None
telah Kupilih	اخترتها	None	None	None	None	None	None	None	None	None	None	None
memilih kalian	اخترتكم	None	None	None	None	None	None	None	None	None	None	None
kamu pilih	اخترتموه	None	None	None	None	None	None	None	None	None	None	None
Kupilih	اخترته	izabrao	None	izvolil	valinnut	escolhi	None	None	υψωσα	None	chosen	escogido
kekerasan	وزمان	nasilje	None	nasilstva	väkivaltaa	violento	None	gwałt	αρπαγης	強暴	violent	violencia
kakakmu	اختك	sestre	None	sestre	sisaresi	None	None	siostry	αδελφης	姐姐	thy sister	tu hermana
berkembang	يزهر	uspijevati	None	cvetu	kukoistaa	floresce	None	zakwitnie	ανθησει	None	flourish	florecerá
kakaknya	اختها	None	None	None	None	None	None	None	None	姐姐	her sister	None
satu anak perempuan	اختهم	None	None	None	None	None	None	None	None	None	None	None
anak perempuan bernama	اختهم	None	None	None	None	None	None	None	None	None	None	None
dinda	اختي	sestro moja	None	sestra moja	siskoni	minha irmã	None	siostro	None	妹 子	sister	oh hermana
mengambil	واخذ	uzme	เอา	vzame	ottivat	tomou	None	wziął	None	拿	took	tomó
mengajak	اخذ معه	povede	None	None	None	None	None	None	None	None	None	tomó a
yang diambil oleh	اخذتها	None	None	None	None	None	None	None	None	None	None	None
diambil oleh	نهبها	None	None	None	None	None	None	None	None	帶去了	None	None
diambil	اخذوا	oduzet	เอา ไป	odvzame	ottaneet	tirado	None	odjęto	αφαιρεθη	奪	taken	quitado
melihat Aku membawa Israel keluar	اخرجتهم	None	None	None	None	None	None	None	None	None	None	None
membawa mereka keluar	اخرجتهم	None	None	None	None	None	None	None	None	None	None	None
membawa kamu keluar	اخرجكم	None	None	None	None	None	None	None	None	None	None	None
membebaskan	فداء	otkupi	None	rešil	vapahti	None	None	None	None	救	redeemed	sacó
yang membawa mereka keluar	اخرجه	None	None	None	None	None	None	None	None	None	None	None
mereka keluar	اخرجهم	None	None	None	None	None	None	None	None	None	None	None
Bawalah	خذ معك	Uzmi	จง พา	vzemite	vie	Traze	None	Wywiedźcie	φερε	None	Take	Tomad
Diam	اخرس	Umukni	None	zapreti	Vaikene	None	None	None	Σιωπα	不 要 作聲	None	None
akan dipermalukan	اخزى	None	None	None	None	None	None	None	None	None	None	None
mendapat malu	اخزى	None	None	None	None	envergonhado	None	None	None	羞愧	None	None
Ahazia	واخزيا	sin Ahazja	None	Ahazijevega	Ahasjan	Acazias	None	Jojada	Οχοζιου	亞哈謝	of Ahaziah	de Ocozías
takutlah kepada	اخش	None	None	None	None	None	None	None	None	None	None	None
hijau	اخضر	zeleno	สด	zelena	tuore	verde	None	zielonych	γεινη ηδη	菜 蔬	green	verdes
berdosa	يخطئ	je zlo	บาป	grešniki	tekemään syntiä	pecador	None	zgrzeszyli	πονηρα	罪	sinned	pecadores
Kuselamatkan	اخلصك	None	None	rešim	pelastan	salvarei	None	wybawię	ελευθερωσει	None	saved out of it	None
Buka	اخلع	None	ถอด	None	Riisu	None	None	None	None	你 腳 上 的	off thy	None
Henokh	لحنوك	Henoku	เอ โน	Enoha	Hanok	Enoque	None	Henoch	Ενωχ	哈諾	of Enoch	Hanoc
sanak saudaranya	اخوته	None	None	None	None	None	None	None	None	None	None	None
saudaraku	اخي	brate	None	brat	veljeni	meus irmãos	None	bracie	αδελφε	我 兄	my brother	mis hermanos
adikmu	اخوكم	sestra	None	brat	veljesi	teu irmão	None	brat	Αδελφη	你 兄 弟	your brother	vuestro hermano
abang	اخي	bratu	พระ เชษฐา	brat	veljeni	irmão de	None	brata	αδελφου του	的 長兄	elder brother	hermano
Ahia	اخيا	Ahijin	None	Ahiju	Ahian	Aías	None	Achyjasz	Αχια	亞希 雅對尼	of Ahijah	de Ajías
Ahitofel	اخيتوفل	Ahitofelove	None	Ahitofelov	Ahitofelin	Aitofel	None	Achitofela	Αχιτοφελ	亞希 多	that Ahithophel	de Ajitofel
Akhirnya	اخيرا	Uostalom	None	Naposled	Viimeiseksi	Finalmente	None	ostatek	Υστερον	末 後	Finally	lo demás
Ahisamakh	اخيساماك	None	None	None	Ahisamakin	Aisamaque	None	Achysamechów	Αχισαμαχ	希 撒	of Ahisamach	de Ajisamac
Akhis	اخيش	Akiš	None	v Gatu	Aakis	Áquis	None	None	ο Αγχους	亞吉說	of Gath	Aquis
Ahitub	اخيطوب	rodi Ahituba	None	Ahituba	syntyi Ahitub	Aitube	None	None	και Αμαριας εγεννησε τον Αχιτωβ	突	of Ahitub	engendró a Ajitob
Ahikam dan	اخيقام	None	None	None	None	None	None	None	None	None	None	None
abangmu	اخيك	svoga brata	None	brata svojega	veljeäsi	teu irmão	None	brat twój	αδελφου σου	你 的 哥 哥	your brother	tu hermano
Ahilud	اخيلود مسجلا	Ahiludov	None	Ahiludov	Ahiludin	None	None	Ahiluda	Αχιλουδ	作 史 官	Ahilud was recorder	Ajilud
Ahimelekh	واخيمالك	Ahimeleku	None	Ahimeleka	Ahimelekin	Aimeleque	None	Ceili	Αχιμελεχ	亞 希 突 的	to Ahimelech the	de Ajimelec
Ahimaas	اخيمعص	Ahimaas	None	Ahimaaza	Ahimaas	Aimaaz	None	Achimaas	Αχιμαας	亞希瑪斯	of Ahimaaz	Ajimaas
Ahinoam	اخينوعم	Ahinoamom	None	Ahinoame	Ahinoam	Ainoã	None	Achinoam	Αχινοαμ	人 亞 希	Ahinoam	Ajinoam
abangnya	اخيه	svome bratu	None	None	veljensä	seu irmão	None	brata swego	None	我與	to his brother	su hermano
Yoktan	يقطان	Joktana	โยก ทาน	Joktan	oli Joktan	Joctã	None	Jektan	Ιοκταν	約坍	was Joktan	Joctán
cemeti	ادبكم	šibao bičevima	None	biči	raipoilla	açoites	None	biczykami	μαστιγας	們負	whips	látigos
Masuklah	ادخلوا	Uđite	None	None	Mene	entra	None	Wnijdź	εισελθε	可 以 進 來	Go in	Entrad
Panggillah	ادع	Pozovi	จง นำ อา	Pokliči	Kutsukaa	None	None	Zawołaj	Καλεσον	None	Call	Toma a
Namakan	ادع اسمه	None	None	None	nimeksi	None	None	None	None	None	None	None
menguburkan	يدفنون	sahraniti	None	pokopali	hautaamassa	sepultaram a	None	pogrzeb	να θαψωσι	葬	burying	sepultado a
Adumim	ادميم	Adumimskom	None	None	None	Adumim	None	None	Αδουμμιμ	None	Adummim	None
semerbak	ادهانك	None	None	None	None	None	None	None	None	香 氣	None	None
saksikan di	ادواء	None	None	None	None	None	None	None	None	None	None	None
Edom	سعير	edomskoj	เอ โดม	Edomce	edomilaiset	edomeus	None	Edomskiego	Σηειρ	東人	of Edom	edomitas
Adonia	ادونيا	Adoniji	อา โด	Adoniju	Adonian	Adonias	None	Adonijaszem	Αδωνιου	多 尼雅	and Adonijah	Adonías
Kalau	وان	ako	None	ako	jos	Se	None	jeźliby	εαν	若	if	si
kalau	وان	ako	None	ako	jos	se	None	jeźliby	οταν	若	when	si
Apabila	ومتى	Kad	None	In če	Jos	Quando	None	Jeźliby	Οταν	若	When	Si
Adar	اذار	Adara	None	Adar	None	Adar	None	Adar	Αδδαρ	亞 達	Addar	de Adar
Sembelihlah	اذبح	Kolji	None	kolji	None	mata	None	rzeż	σφαξον	宰 了	None	None
meter	ذراعا	lakta	ศอก	komolec	kyynärää	côvado	None	łokieć	πηχων	肘	cubits	codos
Edrei	واذرعي	Edreju	None	Edrej	Edreissä	Edrei	None	Edrej	εν Εδρει	以 得 來	in Edrei	Edrei
Ingatlah	واذكر	Zaista	None	Resnično	muista	None	None	Pamiętaj	Μνησθητι	None	remember	os digo
ingatlah	فاذكر	sjeti	None	spominjajte	tietäkää	None	None	Wspomnij	ενθυμηθητι	記 念	remember	sabed
mengingat	اذكر	spomenuti	None	spomni njih	muistaa	lembrará	None	None	ενθυμηθη την	記 念	remember	acordaré
Tamar	لثامار	sestra Tamara	None	Tamarja	Taamarin	Tamar	None	Tamarę	Θαμαρ	他 瑪說	was Tamar	Tamar
Sanherib	سنحاريب	asirskom	None	asirskemu	tytär Jerusalem nyökyttää ilkkuen päätänsä sinun jälkeesi	detrás de ti	None	Sennacheryb	Σενναχειρειμ	西 拿 基 立	None	al rey de Asiria
telinganya	اذنيه	uši	None	uho	korvan	orelha	None	mu ucho	ωτιον αυτου	塞 耳	his ear	sus oídos
memperhatikan	اصغى	posluša	None	None	korvaansa	None	None	None	None	None	him hear	None
Pikiran	اذهانهم	uma	None	None	None	None	None	None	None	心 地	minds	None
pikiran mereka	افكارهم	srcem	None	None	None	None	None	None	None	None	None	None
Pergilah	امضوا	Pođite	จง ไป	Pojdita	mene	vai	None	idź	υπαγετε	None	Go	Ve
pergi	اذهب	ode	ไป	šli	menivät	ir	None	None	None	去	went	ir
Pulanglah	اذهبي	svojoj kući	None	Pojdi	kotiisi	None	None	wróćcie	επιστρεψατε	回家 去	Return	Volveos
pergilah	اذهبي	ode	None	pojdi	menkää	ide	None	szedłszy	υπαγετε	None	went	ve
memberikan ketentraman	اراح	None	None	None	None	None	None	None	None	None	None	None
yang mau	اراد	None	None	None	None	None	None	rodzącą	None	None	None	None
kehendak	مشيئة	volju	None	volji	None	vontade do	None	wolę	θελημα του	旨意	will of	voluntad
kemauan	مشيئة	volju	None	volji	tahtonsa	vontade	None	wola	θελημα	None	will of	voluntad
Ararat	اراراط	araratsku	ส โร	Araratsko	Araratin	Arará	None	Ararad	Αραρατ	臘	of Armenia	de Ararat
Erastus	اراستس	Erast	None	Erast	Erastus	Erasto	None	Erastus	Εραστος	以 拉 都	Erastus	Erasto
bertemu dengan kalian	اراكم	None	None	None	None	None	None	None	None	None	None	None
Siria	الاراميين	aramejskog	None	Sircem	aramilaisia	Síria	None	Syryjskim	Συριων	亞蘭人	the Syrians	sirios
menewaskan	ارام اثنين	pobio	None	pobil	tappoi	None	None	Syryjczyków	Συριων	None	None	hirió a
Mesopotamia	ارام النهرين	Padan Aramu	None	Mezopotamiji	puolella virran	Mesopotâmia	None	Padanie Syryjskim	Μεσοποταμιας	巴旦亞 蘭去	Paddan Aram	Siria mesopotámica
menjadi janda	ارامل	None	None	None	None	None	None	None	None	為寡婦	None	None
janda	الارملة	udovicu	None	vdovam	leskiänsä	viúvas	None	wdowę	χηρας	寡婦	widows	viudas
mendapat suatu	اراني	None	None	None	None	None	None	None	None	None	None	None
empat	الرابع	četvrtoga	None	štirje	neljä	quarto	None	czternaście	τεταρτην	四	four	cuatro
keempat	الرابعة	četvrtog	None	kroginkrog	neljään	redor	None	czwarta	τεταρτω	第 四	the fourth	los cuatro
empat puluh orang	اربعون	None	None	None	None	None	None	None	None	None	None	None
Empat	اربعين	None	None	štirideset	neljäkymmentä	quarenta	None	czterdzieści	τεσσαρακοντα	共 四	yet four	None
Artahsasta	لارتحشستا	Artakserksu	อา ร ทา	Artakserks	Artahsastan	Artaxerxes	None	Artakserkses	Αρταξερξου	亞達 薛西王	copy of king Artaxerxes	rey Artajerjes
rajanya telah	ارتحل	None	None	None	None	None	None	None	None	None	None	None
mereka berangkat	ارتحلوا	None	None	None	None	None	None	None	None	None	None	None
bergetar	ارتعدت	tresla	ไหว	None	järisi	estremeceu	None	None	τρεμει	震 動	trembles	tembló
gemetar	فترتعد	dršćući	None	trepetu	vavistus	tremor	None	None	τρεμει	戰 兢	trembling	tiemblan
setinggi dua	ارتفاعها	None	None	None	None	None	None	None	None	None	None	None
tunjukkanlah	ارتفع	pokaži	เวา	None	armosi	None	None	None	None	None	None	None
